03 нояб. 2022 12:45:00,455 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION : 4480, Time : 71, Current connections count : 1
03 нояб. 2022 12:45:00,484 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 4480, Current connections count : 1
03 нояб. 2022 12:45:00,567 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 4480, Current connections count : 1
03 нояб. 2022 12:45:00,581 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 4480, Current connections count : 1
03 нояб. 2022 12:45:00,646 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 4480, Current connections count : 1
03 нояб. 2022 12:45:00,663 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 4480, Current connections count : 1
03 нояб. 2022 12:45:00,673 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 4480, Current connections count : 1
03 нояб. 2022 12:45:00,692 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 4480, Current connections count : 1
03 нояб. 2022 12:45:00,692 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 4480, Current connections count : 1
03 нояб. 2022 12:45:00,692 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 4480, Current connections count : 1
03 нояб. 2022 12:45:00,692 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 4480, Current connections count : 1
03 нояб. 2022 12:45:00,692 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 4480, Current connections count : 1
03 нояб. 2022 12:45:00,814 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 4480, Current connections count : 1
03 нояб. 2022 12:45:00,843 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 4480, Current connections count : 1
03 нояб. 2022 12:45:00,843 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 4480, Current connections count : 1
03 нояб. 2022 12:45:00,860 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 4480, Current connections count : 1
03 нояб. 2022 12:45:00,860 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 4480, Current connections count : 1
03 нояб. 2022 12:45:00,868 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 4480, Current connections count : 1
03 нояб. 2022 12:45:00,868 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 4480, Current connections count : 1
03 нояб. 2022 12:45:00,868 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 4480, Current connections count : 1
03 нояб. 2022 12:45:00,868 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 4480, Current connections count : 1
03 нояб. 2022 12:45:00,868 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 4480, Current connections count : 1
03 нояб. 2022 12:45:00,868 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 4480, Current connections count : 1
03 нояб. 2022 12:45:00,883 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 4480, Current connections count : 1
03 нояб. 2022 12:45:02,613 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 4480, Current connections count : 1
03 нояб. 2022 12:45:02,652 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 4480, Current connections count : 1
03 нояб. 2022 12:45:02,652 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 4480, Current connections count : 1
03 нояб. 2022 12:45:02,671 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 4480, Current connections count : 1
03 нояб. 2022 12:45:02,671 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 4480, Current connections count : 1
03 нояб. 2022 12:45:02,953 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION : 5916, Time : 59, Current connections count : 2
03 нояб. 2022 12:45:02,968 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 5916, Current connections count : 2
03 нояб. 2022 12:45:06,309 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 5916, Current connections count : 2
03 нояб. 2022 12:45:06,320 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 5916, Current connections count : 2
03 нояб. 2022 12:45:09,165 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 5916, Current connections count : 2
