03 нояб. 2022 12:29:40,293  INFO StartLogger - Server is starting...
03 нояб. 2022 12:29:42,039  INFO StartLogger - Logics instance is starting...
03 нояб. 2022 12:29:42,096  INFO StartLogger - Initializing BusinessLogics
03 нояб. 2022 12:29:42,126  INFO StartLogger - Initializing localizer
03 нояб. 2022 12:29:42,126  INFO StartLogger - Creating modules
03 нояб. 2022 12:29:42,126  INFO StartLogger - Initializing string literals data
03 нояб. 2022 12:29:42,857  INFO StartLogger - Initializing dependencies
03 нояб. 2022 12:29:42,997  INFO StartLogger - Initializing modules order
03 нояб. 2022 12:29:42,997  INFO StartLogger - Initializing metacodes and classes
03 нояб. 2022 12:29:43,652  INFO StartLogger - Initializing object class
03 нояб. 2022 12:29:43,674  INFO StartLogger - Initializing tables
03 нояб. 2022 12:29:43,751  INFO StartLogger - Initializing class tables
03 нояб. 2022 12:29:43,842  INFO StartLogger - Initializing full tables with one key
03 нояб. 2022 12:29:43,842  INFO StartLogger - Initializing main logic
03 нояб. 2022 12:29:43,864  INFO StartLogger - Initializing main logic for module : #1 of 46 System (actual: 1)
03 нояб. 2022 12:29:44,988  INFO StartLogger - Initializing main logic for module : #2 of 46 ProcessUtils (actual: 36)
03 нояб. 2022 12:29:44,988  INFO StartLogger - Initializing main logic for module : #3 of 46 Image (actual: 18)
03 нояб. 2022 12:29:44,988  INFO StartLogger - Initializing main logic for module : #4 of 46 Sound (actual: 35)
03 нояб. 2022 12:29:44,988  INFO StartLogger - Initializing main logic for module : #5 of 46 Com (actual: 32)
03 нояб. 2022 12:29:44,988  INFO StartLogger - Initializing main logic for module : #6 of 46 OpenCV (actual: 42)
03 нояб. 2022 12:29:44,988  INFO StartLogger - Initializing main logic for module : #7 of 46 Time (actual: 2)
03 нояб. 2022 12:29:45,004  INFO StartLogger - Initializing main logic for module : #8 of 46 Printer (actual: 17)
03 нояб. 2022 12:29:45,004  INFO StartLogger - Initializing main logic for module : #9 of 46 MasterData (actual: 7)
03 нояб. 2022 12:29:45,024  INFO StartLogger - Initializing main logic for module : #10 of 46 DefaultData (actual: 13)
03 нояб. 2022 12:29:45,024  INFO StartLogger - Initializing main logic for module : #11 of 46 Integration (actual: 27)
03 нояб. 2022 12:29:45,040  INFO StartLogger - Initializing main logic for module : #12 of 46 HockeyStats (actual: 16)
03 нояб. 2022 12:29:45,056  INFO StartLogger - Initializing main logic for module : #13 of 46 Numerator (actual: 19)
03 нояб. 2022 12:29:45,254  INFO StartLogger - Initializing main logic for module : #14 of 46 Utils (actual: 3)
03 нояб. 2022 12:29:45,404  INFO StartLogger - Initializing main logic for module : #15 of 46 Excel (actual: 25)
03 нояб. 2022 12:29:45,404  INFO StartLogger - Initializing main logic for module : #16 of 46 Fax (actual: 45)
03 нояб. 2022 12:29:45,404  INFO StartLogger - Initializing main logic for module : #17 of 46 Hierarchy (actual: 24)
03 нояб. 2022 12:29:45,404  INFO StartLogger - Initializing main logic for module : #18 of 46 I18n (actual: 31)
03 нояб. 2022 12:29:45,404  INFO StartLogger - Initializing main logic for module : #19 of 46 Schedule (actual: 43)
03 нояб. 2022 12:29:45,419  INFO StartLogger - Initializing main logic for module : #20 of 46 Authentication (actual: 4)
03 нояб. 2022 12:29:45,905  INFO StartLogger - Initializing main logic for module : #21 of 46 ProcessMonitor (actual: 21)
03 нояб. 2022 12:29:45,915  INFO StartLogger - Initializing main logic for module : #22 of 46 Historizable (actual: 23)
03 нояб. 2022 12:29:45,932  INFO StartLogger - Initializing main logic for module : #23 of 46 Document (actual: 20)
03 нояб. 2022 12:29:45,964  INFO StartLogger - Initializing main logic for module : #24 of 46 Reflection (actual: 5)
03 нояб. 2022 12:29:46,229  INFO StartLogger - Initializing main logic for module : #25 of 46 Messenger (actual: 33)
03 нояб. 2022 12:29:46,229  INFO StartLogger - Initializing main logic for module : #26 of 46 SystemEvents (actual: 6)
03 нояб. 2022 12:29:46,240  INFO StartLogger - WARNING! Now default change event action will work in new session /utils/messengers/Messenger.lsf(67:30) property:Messenger.synchronizeChatsAction[Messenger.Account] 'Synchronize account' [Messenger(59:70)]
03 нояб. 2022 12:29:46,264  INFO StartLogger - Initializing main logic for module : #27 of 46 Telegram (actual: 34)
03 нояб. 2022 12:29:46,268  INFO StartLogger - Initializing main logic for module : #28 of 46 Slack (actual: 41)
03 нояб. 2022 12:29:46,268  INFO StartLogger - Initializing main logic for module : #29 of 46 Viber (actual: 38)
